"Review","Result"
"superb phone unlocking is faster nice camera with bokeh effect and display was aweome notch hd plus display supporting 4k videos, face lock were working perfectly.  no complaints or problems . 4g+4g,dualsim+memorycard,notch display,lightweight,3gb+32gb,fast unlocking system,superbly responding finger lock sensor,awesome facelock responding perfectly on dark, battery was cool, no heating problems,best on gaming,looking &#x1f60e;cool and awesome bokeh mode","positive"
"quality of mobile, camera, music, screenshot procedure","positive"
"screen quality and camera is impressive .bettery is also cool....love it very much also chin is tiny.","positive"
"awesome mobile","positive"
"pls dont bye this product","negative"
"nice","positive"
"good phone i like it.","positive"
"good phone with best features","positive"
"phone is good in this price segment but phone&apos;s front camera is not good and also its charging time is more than 3hr to full charge","positive"
"ek no mobile","positive"
"not a worth phone. hangs a lot. please don&apos;t buy this phone.","positive"
"good quality phone and best features","positive"
"waste money","positive"
"best phone but the price is so high and its processer is not so good.","positive"
