Review,Senti
"I bought this to charge my iphone and tablet in the car. works for iphone but not the tablet. I needed a stronger charge for that but this is still great for both iphoe and ipod together. it's cheap, small and compact",positive
Works great. The blue led light is a nice touch in the car. We charge a Samsung and Iphone using this outlet. Nice low profile too.,positive
"works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets. I would recommend it to anyone looking for a universal car charger.",positive
"I could only give this USB car charger 2 stars because although it worked fine for about 3 months, it subsequently died on me.Pros:-Has 2 USB ports for charging, one (the top) is 2.1 amps.  The bottom slot is lower, presumably 1 or 1.5 amps.-Fits well in my charging socket - holds tight.  I've had some that were loose in my charging socket.-Works well to charge my iPhone in the top slot and the bottom slot works with most Android phones, except the very high end ones.-Has a blue LED light to tell you it is on and ready to charge.-The USB sockets seem to be well made and tightly fit all my cables.-Pretty solid construction.-It cost less than $2.Cons:-It died on me after 3 months.I had really enjoyed using this USB charger.  It rapidly charged my iPhone and worked well with charging the phones of my family and friends.  The two slot design makes this design very handy; with a 1 slot design, no one else can charge their device unless I remove my cord.  Of course, after this charger died, I had to go back to the 1 slot design I was using before.After 3 months, I began to notice the LED light flickering.  It was less than a week later that is quit working permanently.  I'm not sure what the problem was - faulty wiring, bad design, I guess I'll never know.  I thought about getting another since they are so cheap, but then I thought better of it.  Maybe they are so cheap because they are simply disposable after a short period of time.For whatever reason, it died and I was forced to look for another 2 slot design - I haven't found one in my price range yet.",positive
"This charger works great and is short, unlike most chargers. It does a great job with charging both my phone and my GPS when I am in the car.  Great value and easy on the wallet.",positive
This portable USB Port car charger is a must have for people on the go.  Pair this with an extra or spare cord and you are good to go!,positive
"I love the way it can charge 2 devices at once!  Seems to charge quicker without GPS on, with it on, it only holds the battery, but better than it dying!!!",positive
I received this product before I expected. It looks pretty good and It works with my Iphone (3GS) and my phone (HTC Evo V 3D). It is a good deal because It is not easy to find something like this for this price,positive
"I have several of these, from various retailers, all the same, each made in some anonymous Chinese factory, all exactly alike.They're great. They really do work, and they do deliver 2.1 and 1.0 power as they say they will do. They do the job.You wouldn't expect much QC for a $2 electrical product, but they each work just fine.They don't last forever-- about a year or two of active daily use seems about par, then they suddenly die. So do have some replacements on hand. At this price, no problem.Yes, they work with both my iPhone and iPad. Also with every other USB device I've needed to charge.The LED light that indicates you are plugged in correctly is very helpful.These are great for rental cars and travel. If you leave one behind, hey, it's only $2.I'm totally pleased with these clever little gems. No complaints. I wouldn't be without a couple, especially for travel.Hope this is helpful. Happy trails, all.",positive
good product at low price.purchased this looking for a smaller charger and I love Griffin products.Free shipping just took a little longer,positive
"I use this in my car to charge my phone and my iPod as needed. It works well, but the bright blue light can be annoying when driving at night. Overall, a very good deal.",positive
I love this case! It's so pretty.And I love the way the case feels to the touch because of the rubber. Very happy!,positive
The idea of the design is a sweet idea but it wears off as the paint is over the case and not under a sealant or anything. It has a cool 3D effect but at the cost of the paint rubbing off.It is quite pretty though.,positive
"I was worried about this order because the picture on the description page kept changing to a less-desireable green/orange cover.  But alas, it came a day earlier than expected, and the beautiful pink product expected!  The ""rubberized"" cover feels a little greasy (like it was armor-all'd), but the design is gorgeous and a little 3D looking!",positive
Another pretty phone case that I really love. I have many as I love t o change them around .thanks,positive
"The case is not white, its more of a silver. It's still a very pretty case- it fit my phone perfectly. It took too long to arrive.",positive
Defintiely worth the price...You should order several.  Most cases are $15 and up especially at the cell phone stores.  I can't believe the mark up on these things!,positive
This is a great case... It fit my phone perfectly and I still use it from time to time. Would recommend,positive
"Received this item very quickly. The design is even more vivid than expected. The cover is soft (rubberized) but durable. I have received many compliments. It was an excellent buy! I would recommend this to anyone wanting a ""good look"" for their phone.",positive
this cover makes an old phone look and feel new. I like that I can order covers for little money and snazzy up my phone.,positive
"I loved the case when I first received it but shortly after, the case started to peel off at first i did not know what it was until i looked on the back of the case and it was missing spots. Guess sometimes a good deal is not really a good deal.would not purchase.",positive
"The color is more dark in person, and this isnt the best protection case. I get a lot of compliments on the case, and it was easy to put on.",positive
Simple to install and a great way to help protect your phone.My wife really liked the ability to change the look of her phone.,positive
The case is pretty good. It dose have some scratches on one side of the phone but its every little. Other then that i like it. Ive dropped my phone a few times since putting on the case and it didnt break or scratch. Ive gotten many complements on this case and over all it was worth the few bucks I spent.,positive
This case is afordable and yes it peels very easy but thats to be expected because its a dollor. I bought mine from Electromaster. It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for. its only a dollar so do not get your hopes up. it looks great but its for show not for protection. if you want your phone to be protected go the extra mile for an outter box,positive
This is one of my favorite cases I have this one on my phone I really love the color a lot.,positive
"This case for some reason is peeling, there isn't much left of the orginal skin, i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone.",positive
Its rubberized doesn't look like it in the picture but it is It's really cute I love this case used it for awhile but I switch out cases like I do my shoes.,positive
"Received this in about a weeks time. Very nice actually considering how cheap the price was. It's a pink/purple with black leopard spots and has a very nice feel to it. I haven't tried to remove it yet, but hopefully it won't give me any trouble when I do want to change covers.",positive
This case was by far the best case I bought for this phone.  It is very stylish and I received many compliments,positive
"This is the cutest case EVER!  I love it because it was easy to apply.  I had to switch from the rubber one because after so many uses, it wears out like the bottom hem of a sweater that has been stretched.  This case keeps my phone intact and protected at the same time...WOO HOO!!",positive
my daughter liked it for a few days and then i didnt see it anymore on the phone. Use your judgement on that one.,positive
"very good charger, it woks fine, no complaints!!! I would recommend it!! It was good, but not using it anymore!",positive
"This product arrived when promised and in the condition promised. It is a genuine Blackberry charger. It was brand new and worked perfectly. For the price, I don't think you can ask for much more than that!",positive
Great product. Use this with my Galaxy S4. At this price I bought 2 more. One for work and one to keep in the car incase I ever travel and forget my charger.,positive
"Honestly I have always loved this specific model, since you can just take it with you on the road not worrying if you end up losing it or leaving it where ever you go. Though it doesn't exactly meet the fast charging needs of high end phones, it works pretty well on all of them, you just need to be patient.",positive
"I've had this charger well over a year now, and it still works perfectly.  Most chargers would have broken by now.  The folding blades make this more portable than the chargers that come with some Blackberry models that have adapters for different countries.",positive
"so far no problems, it charges fast that is what i need it. it doesn' have an USB as it specified, jus a direct wall charger.",positive
Great ! So far.I had this charger before and it seem to last pretty good 3 years fits most phones except Iphone and Galaxy 5  but that phone can still use it in the right side of the portal it will Judy charge it a bit slower. When this charger goes it tends to loose it's fit firmly in usb and has a short.,positive
Another very good phone charger that does the job and has a  very affordable price that anyone can afford  to buy it.,positive
Works well. We use this for travel and it lives in our luggage most of the year. For the low price having an extra USB charger this works great. Charges our Galaxy S3 and Note 2.,positive
"I needed a charger quick and I didn't want to spend $20.00 at the convenience store for a short, crappy charger. For this price, the charger is great.Pros: The cord length is perfect if you have a tall bed. I don't have to struggle to see my phone when I'm laying down.Cons: The plug in is a little blocky but nothing to worry about. The connecter doesn't like to stay in place 100% of the time. It does NOT fall out but if you wiggle it just right it disconnects the charge. My phone is also old and the port is a little worn. That could be my issue.If you need a good charger for a cheap price. Buy this!",positive
Bought as a spare charger for the house and turned into my main charger because my other one failed. Nice long cable and has held up for tons of charges for my Galaxy S3.,positive
The charger only lasted a week ad after that it just stopped charging my Samsung Galaxy S3.  They really need to start making these chargers better....I've been thru several!!!!,positive
"This Charger is awesome! First of all I wasn't expecting it until between 12/12  and 12/17, but it arrived on 12/11,So That was a plus for me! Second, I was kinda skeptical about purchasing it because it says that its for a Galaxy S and Blackberry so that can mean a lot of things! but I figured what the heck its cheap, so what can I loose!  Well, I just got it today and decided to give it a try at work on my Galaxy S4,  it charged  from 80%  to 100%  in about 7 minutes!! Yes i timed it!  and also the cord is long which is a plus for me!  So if your looking for a fast charger with a long cord and not to mention a great price, this is the one!!update:  not sure what the other reviewer meant by saying these are poor quality chargers, because I've had mine for a little over 2 weeks and it's still going strong!!  Love this charger  especially  for the length!!",positive
This charger woks wonderfully on the Samsung Galaxy S4.  it chargers the phone fast and the price is great!  Highly Recommended product!,positive
This is another great product and i will always order from here in the future. money spent well!! If you need a great car charger this is the one you need!!,positive
goes into the lighter port a little rough but it charges the phone fine. I wish it had a little more reach so i could use the phone from the passenger seat of the car more comfortably but its not a big problem. it will reach pretty far because of the coiled section but this will put stress on the charge port of your phone which many people dont realize will eventually break it.,positive
"I purchased two of these chargers for my sister and girlfriend. They both have Samsung Galaxy phones and needed a car charger so being the OEM fanboy I am, I swooped up on a couple of these for them while remaining slightly skeptical of what was actually going to show up in the mail at this price.I'm happy to report I definitely received 2 OEM Samsung car chargers in the mail in sealed bags with part # barcodes (the kind you'd normally receive in a new/refurb phone). Can't go wrong with the price and certainly can't argue with the benefits of OEM vs. generic (mA output and reliability at the top of the list!).",positive
I bought this for my Samsung Charge. It works perfectly and is built as solidly as the $20 Verizon charger. I highly recommend this car charger and thanks for the great price!,positive
"It does what it needs to do, very pleased. I bought some other cheap lame one and will never go back.",positive
"Charger works great. Haven't had any issues with it at all. I wish it has a retractable cord like some other chargers I've used, but other than that, I love it.",positive
It works great  thus  far no issues.  The only thing i might have limited was a usb Connect or it charges my t989 without fail,positive
"The big store that is in every town now (can't say their name) either does not carry anything or is always out of stock. If they ever have anything is stock, it is cheap junk that does not last. I got this cord thru amazon for a fraction of the price I usually pay for the junk at that big national store. This cord works perfectly and has lasted for months now. I also bought at the same time 2 other cheaper charger cords thru amazon that work perfectly. Since this one still works, I have the other two to fall back on when this one finally goes out. This is a great car charger, and it does not cost near as much as the junk you get at the local store--not to mention this is the Samsung brand charger verses their junk.",positive
Good lengthEasy to useVery fast chargingI would recommend it to persons who use their phone a lot.,positive
luving it  right now will last about 4 mo so you cant beat the price for it I got 4 of them,positive
"JUNK!!!......This product must be miss labeled.  I can not get my Samsung S2 phone to charge with this OEM charger.  The lights are on, the phone says its charging but nothing happens.  I am not sure if I got a defective product but it is very upsetting to sit in your car for hours and not see your phone recharge.  If you need a reliable charger, DO NOT purchase this product.If you need a car charger for your Samsung S2, I would recommend the Motorola Vehicle Power Adapter.  It charges fast and is dependable.",positive
"A very good car charger for your phones, charged my phone pretty quickly and quite affordable, I recommend it to anyone to have as a back up to your charger.",positive
"The Samsung car charger has stopped working within a 6 month period.  I thought a fuse was blown inside the unit but when I attempted to change it, I've noticed that it doesn't come apart like most vehicle chargers.",positive
"WHAT A GREAT PRICE!RIGHT OUT OF THE BOX, PLUG N UPLOAD SUM JUICE ...DON'T KNOW IF DROPPING IT REPEATEDLY ON THE FLOORBOARD,OR OCCASIONALLY STUFFING IT IN CONSOLE TO HIDE CAUSED FAILURE ...BUT SOON THE GREEN LIGHT FAILED TO LIGHT, AND PHONES DISPLAY SHOWEDIT WASN'T CHARGING. SO EITHER SPEND SEVERAL MORE DOLLARS FOR ONE WITHA HEAVIER CORD/STRONGER SHELL OR TREAT IT AS A DELICATE FLOWER.",positive
Sprint wanted $30 fro the same item.  This is OEM and not third party after market. Bought two.  Work great,positive
Plugged into the car and worked the first couple of days. Hasn't worked since. My phone does not even recognize it's plugged in.,positive
This charger works great. I love the fact that the LED on it does not light up until it is plugged into the phone. Great bargain.,positive
"Though I`m not a expert in cell phone chargers. This thing works good, but its not all fireworks and hotel parties. Its a charger and it works so I guess buy it.",positive
I used this charger for a couple of months now. Its a very good charger. It charges my phone very quickly.,positive
It is Samsung brand..works with my Android phones..Galaxy Nexus 4 and Galaxy S2 and S3...recommend it highly for anyone with a microUSB phone,positive
I needed a car charger and this was very affordable and it worksgreat! The same thing from the store was three times the price.,positive
"good oem car charger, i originally bought it for my galaxy S2 and later on that week I upgrated to the Galaxy S3 and it works prefectly fine, I would recommend this product",positive
You have to hold it in a certain place in other for it to charge. I'll just buy the Verizon  charger instead,positive
This charger works perfectly.  It is the official Samsung charger so I was sure it would work just fine. I highly recommend it.,positive
"I use this charger with my GS2 from Straight Talk.  This charger is working as expected, charges the phone fine and seems like a quality product, not flimsy and cheap feeling like some chargers I have ordered in the past.",positive
"This thing worked well when it actually functioned, but today it stopped working and I am past the 30 day return window by 10 days give or take.I'm guessing the quality might not be great as that is why it stopped working, who knows.. What a waste of money.",positive
Hope to use it soon.  My other one worked sometimes.  This one does not have the light on unless you are charging.,positive
"es un cable para carro de excelente calidad , original de samsung , lo tengo algun tiempo sin ningun problema",positive
"I went thru 3 car charges which they all either stopped working after a few uses or never worked to begin with.This car harder not only works it also charges my phone lightening fast!!! LOVE IT, LOVE IT LOVE IT!!If u are debating u can rest assured this thing is awesome.",positive
"First, this is kind of cheap-looking, but I did try to buy the cheapest OEM car charger I could for my phone, so that's forgiveable.  The springs on the side don't have much force, though, so this is constantly slipping out of the 12V car port.  The cable is sturdy, but the rubber near the connector is kind of stiff, which makes charging AND operating your phone on the go a bit of a hassle.  It's held up well since I purchased it though.UPDATE:  Stopped charging after a month.",positive
Works great nice long cord. Does the trick. Bought several of these to put in diff. rooms & one for work.,positive
Good charger and is perfect because it is also has a USB connection. Also love that it is original material it works like that too giving a quick charge when i need it.,positive
I have had 3 phone chargers go bad in two weeks. I can not say where I purchased them. Most chargers for cell phones are cheaply made. This one is OK I guess.,positive
"I received this product in a very timely manner which was delightful, however, I gave it as a gift and was embarrassed to find out it was a defective item. I was reimbursed for the product but would have much rather had a product that worked the first time.",positive
It worked fine for a few days then I had to change to cord........The charger itself working fine up to this point..........Rather than send it back I bought another cord from sprint for $19.00,positive
"fast delivery, works well. Not very long.",positive
This detachable sansung galaxy s2 travel charger is simply good. It works perfectly.  The cherry on the cake is because it is longer than the factory original l received with the phone.,positive
Had all the marking of a legit samsung product but the cord stop working after 3 days. I'm not upset because it was very inexpensive but maybe you should spend a little more and buy a better product off amazon. When it did work it worked very well.,positive
"First off, the charger works just as it should and all the ports stay connected just fine.People in other reviews were complaining that the cord was too short-- about 2 or 3 feet-- and that was what I was expecting. Instead, I got a 5 foot cord which is a bit long for the purpose I was going to use it for (in my car). Now I have a long cord dangling everywhere. That extra length may be a bonus for most, but I bumped down the rating due to seller's lack of description and/or consistency. Also I'm fairly certain the product image was changed because when I ordered it, a different style adapter was pictured... I was expecting a square shape with the USB port on the side; I got the longer rectangle shape with the USB port on the end... hmm. There's no way to verify that now.In sum: Good charger with good connectivity, looks and acts like it's an original Samsung.  Cord length and adapter style may vary as it seems like the seller is not consistent.",positive
it's a charger for dirt cheap and the shipping wasn't more than the item. I wish they had the batteries i needed as well for my phone. but great all an all,positive
"This charger doesn't charge the battery of my Samsung Galaxy S2 (i9100) properly.When I connect it to my S2, the screen gets frozen and the cell behaves in a unusual (abnormal) way.",positive
This charger is exactly like the original one that came with my phone.  It is most definitely a good buy for the price!,positive
"works good with our phones, better actually than the charger that came with one of the phones initially , great price",positive
"I would like to start off by saying that this product is what I ordered and I have no complaints about shipping or the condition of the product when it came to my house, the problem I do have is the micro usb cable that comes with the charger. Why is it that all of the different companies that sell chargers on Amazon can get the plug part of the charger right but not the micro usb cord? The cord is cheap and not the original cord that comes with the other part of the charger. I am having the same issue with the charger that I ordered for my galaxy note 2. It's a very thin cord, and also very short. Maybe, a 2 21/2 foot cord? And its of a cheaper quality than the part of the charger that the micro usb plugs into...",positive
thank you. it did not disappoint. was as expected and does the job though I am going to a new phone as the galaxy 2 has been acting up consistently. shutting down by surprise etc...,positive
I love it.  It charges my phone quickly and the cord is super long.  I leave it at home but will purchase another to leave at work.,positive
"After 2 weeks my charger just fell apart while i was taking it from the plug , not a strong charger at all i would have asked for my money but it wasn't even worth it .",positive
I am pleased with this purchase.  The detachable cable option gives very good flexibility for use with other USB cable chargers.  Good quality for a travel charger.,positive
charges me up all the way. doubles my battery liek promised. case protects well and the color is awesome nice,positive
"The color is amazing all of my friends are jealous and ask me where did I get it. They are even more jealous when I tell them how much I paid for it! Great case, powers me up and VERY stylish. Matches my 5C PERFECTLY :)",positive
much slimmer than I thought and it ads 125% battery. I am charged for the full day with this case.,positive
"Great quality product , I love this case it is the perfect sidekick to an always dyeing phone . Now my phone is charged anywhere anytime thanks to powerbear . Really like the name of the case as well !! 5 stars deff !",positive
This case helps me run my day smoothly without having to worry about my phone dying. Plus the color is very beautiful.,positive
"This PowerBear case is a lifesaver!! Charges fast, always reliable. I also love the glossy texture of the case. Highly recommend!!",positive
"This is a very well built and designed case,with a very cool and attractive color. Phone dies too quickly without it",positive
"I was surprised it game in three steps, but when i put the case together and slid my phone in, i loved it. It is hard to get off",positive
I was looking for something different to my wife and this case its strong and beautiful. Good price and i recommend it.,positive
"Love it this case is just what I expected and I love the design, it is slim and protects my case more than I thought it would.",positive
"this is really cute phone case, i like it alot, and it came in when it stated it would too",positive
"Really cute but the heart doesn't really show up if you have the white iPhone 4. 3 piece case & fits like a glove, looks really cute. Shipping took about 2-3 weeks but really enjoy the case. Do recommend.",positive
Great case for my phone. Protects and keeps me charged. easy access to the button and sounds good too. i like it,positive
Other power cases muffled the speaker sound. This one had a great sound port on the back for clear listening.,positive
"Wow!  What a cute battery case! I saw a Christian sister with one of these on her phone!  That gave ne an idea-I decided to order me and my sister a battery case-mine is white, (since my phone is white), and my sister's is black,(since her phone is blue).Anyway, these little guys give you power for your phone! If we run out juice, especially when on the go, we can just connect this case to our phone, and it is POWER ON THE GO!! (I'm just concerned about the functionality).",positive
Great case. Doubled my battery life like promised. Can't beat the price. I would recommend it for a friend. A+,positive
"Great case, sturdy, doubles battery, wont have to worry any more. I purchased this for my kid and he is very HAPPY.",positive
"Bought one for me and the wife (diff color;phone, not  wife, lol.). Firefighter work 24 hr shift and never know when if will get to recharge so this is perfect for me and anyone else that can't always plug in to charge each day.",positive
couldnt watch movies on the htc without the battery dying. the phone is great for entertainment. but battery could be better. the powerbear cases is a great fit and a good kick stand on teh back for entertainment. im sold,positive
This product is great. I like the kickstand on the back. The power indicator is very convenient to know charge pack status.,positive
Not Many HTC one battery cases for sale and this one is pretty good for the price. I would give it 4.5 stars and 5 if the price was $5 cheaper.,positive
"I never do this, but I almost bought this product based off of the amazing sounding fake reviews provided by the shills for PowerBear. If you look at all the positive reviews for this case, you will see that none of them are verified purchases and yet every negative review, other than this one of course, is a verified purchase. What that means is that everyone who has actually bought and used this product thinks that it is crap. Furthermore, many of the reviewers have posted twice on this product, once per color. Why Amazon allows this is beyond me, but that is not the point. Also, if you look at the profiles of the positive reviewers, you will see that they have posted multiple positive reviews for PowerBear products and many of the reviews are carbon copies of each other. Beware the paid shills!",positive
"This is absolutely amazing, more than doubles my battery life, so I can forget about carrying my charger all the time.For such a good price, this is just the right deal. A++++++++",positive
"My brother just got the HTC One, and I promised him an awesome case like the one I have for my S4.Super sleek look, fits well, doesn't get overheated and saves the day every now and then! Especially when GPS is needed!",positive
The raised edges protect the screens from falls. The battery case looks stylish and charges me up. This case is fannnnntastic,positive
fits well on the phone and it is easy to use. the price is unbeatable and the product works like advertised,positive
The S5 is a fantastic phone. However because of its large screen the phone dies quickly. With the extended battery I am able to enjoy all of the phones features without losing power. Great buy.,positive
"Totally worth the money, It protects my phone in even of the most dangerous situations where I dropped my phone and it also keeps my battery going for Days. BRAVO!",positive
"I got this case for my nephew, and he claims that it was not what he expected. He has a charge case for his last phone, and it covered the whole thing. This is just like a back of the phone replacement, so it doesn't add to much weight",positive
"This is a really great case, looks and feels amazing, not to mention that the battery lasts for many hours.",positive
"I think this case is an excellent choice, since it is not so bulky, the color is nice, the texture on the back is good for gripping, and it extends battery life. It's a life saver, and there isn't too much on the market at the time for this phone so I am happy with it. Bought both blue and black for me and my brother right after we got home from the phone store. Would recommend.",positive
I was looking for a case for my new Galaxy S2 (At&t version). The store was selling similar cases for $20 and $35. I just can't justify spending that much on a case. This case is made for the unlocked version of the Galaxy S2. The size is the same. The only difference that I can see is the noise cancelling microphone is blocked. I drilled a little hole in the case and it works just fine,positive
i was raving to a friend about how amazon has great phone cases and how cheap they are and bought him this. it didn't even fit his phone right. poorly made.,positive
"nice case, protective and good looking, it also has a nice changing texture in some areas. good buy for the price",positive
"Bought this for my new AT&T; Galaxy SII, the case arrived super fast, its fits the phone perfectly and snug. I have no issues with any buttons, and the rubber is in a smooth, sort of laminated finish. It does not stick to your pockets. Overall, I am extremely happy with the purchase, especially for so cheap.And just FYI: This is for the AT&T; (i777), or International (i9100) Galaxy SII.This WILL NOT FIT Sprint, T-Mobile or the AT&T; Galaxy SII Skyrocket phones. You've been warned.",positive
"I liked the case, and for the amount of money paid, its a good buy, i personally like stronger cases, this is very flexible and indeed looks like a hard case, a little bit of more firmness wouldnt hurt.Protects VERY well the phone as well as the camera lens there is not one single part of the phone touching the surface of the table when i leave it there. Very Good purchase.",positive
"Like most of the other reviews say, this rubbery case has a smooth exterior, so it doesn't feel like an uncomfortable sticky rubber.  While still appearing to have a hard shell, the rubber itself is fairly soft, and does a great job of protecting from falls without feeling too bulky.",positive
"the case did not fit my phone; was a tad too small.  i could only get 3 corners into the case.  i wound up buying a two piece case that cost about $20 from a local store.  have dropped the phone so many times the case is beat to s***, and no damage to the phone.  good reason to buy a case, just not this one.my co-worker delayed in getting a case because he could not find one he liked, and broke the display screen, making his phone unusable.  buy a case, not this rubber thing.  i threw mine away within 5 minutes of it's arrival",positive
This skin fits perfect in my SGSII and the phone looks great inside of it.It is a high quality skin and gives a very good feeling in your hands.I recommend this product for your SGSII.,positive
I like the case so far fits ok my Samsung Galaxy S2 I like that is very shiny and soft to the touch. My only concern is one of the corners is not totally covered so it wont protect it from scratches or a hit there that is why I am just giving it 4 stars. Well for the price i think it is ok.,positive
Don't expect more but it works well for the reason you buy.I was looking for a cheap skin case and was not willing to pay a hefty amount for the case at least for the initial period after buying my unlocked galaxy s II.Din't Expect much before buying.But it really does work well.4 $ with 2 day shipping free is really a good deal if you are looking for a perfect tpu case protecting your phone.,positive
Great case fit my samsung galaxy s2 great will order again fast shipping it make my phone look super sexy trust me you need to order 1.,positive
I read the first few reviews and didn't read any further and now I wish I had cause this thing does not work for the Sprint Galaxy s2. Wish I had known that.,positive
Be careful when ordering these cases. Not all Galaxy II's are the same. Mine was a Sprint and this one did not fit my pnone. It went into the trash can as it wasnt worth sending back. Otherwise I am sure it's a great case.,positive
"arrive on time, good quality, functionally, recomend to protect the samsung galaxy S 2 I9100, fit exactly , recomend to the owners of this smartphone .",positive
"I was expecting a bit higher quality product but it is what it is. I've used it for a few months and it definitely helped when I dropped my phone. But at this point, I am not using it anymore due to the quality of the product, although 'good', it could be better and more solid.",positive
"there is a different between the size/design of Galaxy II that is carried by USA and what's carried by Asia.  I'm in USA, I ordered the cover for Galaxy II that i bought from USA, the cover didn't fit, and the speaker location is different from the phone.  I copmared the cover to another Galaxy II that is sold in Asia and i found that the design is different.So if you bought Galaxy II from USA, don't buy cover from outside USA",positive
"It is good, and look so cute. I like it. It is cheap than when i saw in a store.",positive
